lamda	k(lamda)
200	5.15714
201	5.1802
202	5.20325
203	5.2263
204	5.24935
205	5.27241
206	5.29546
207	5.31851
208	5.34156
209	5.36461
210	5.38767
211	5.41072
212	5.43377
213	5.45682
214	5.47988
215	5.50293
216	5.52598
217	5.54903
218	5.57208
219	5.59514
220	5.61819
221	5.64124
222	5.66429
223	5.68735
224	5.7104
225	5.73345
226	5.75397
227	5.77488
228	5.79364
229	5.81164
230	5.82614
231	5.84082
232	5.85572
233	5.86993
234	5.88153
235	5.89321
236	5.90276
237	5.91232
238	5.92024
239	5.92849
240	5.93651
241	5.94324
242	5.94919
243	5.95464
244	5.95968
245	5.96232
246	5.96465
247	5.96449
248	5.96508
249	5.96554
250	5.96438
251	5.96111
252	5.95715
253	5.95326
254	5.94898
255	5.94631
256	5.94155
257	5.93522
258	5.93036
259	5.92133
260	5.91236
261	5.90472
262	5.89546
263	5.8836
264	5.86822
265	5.84994
266	5.8275
267	5.80095
268	5.76819
269	5.73142
270	5.69044
271	5.64397
272	5.59186
273	5.53436
274	5.47205
275	5.40654
276	5.33741
277	5.26535
278	5.189
279	5.11069
280	5.02892
281	4.94706
282	4.86181
283	4.77259
284	4.68212
285	4.59085
286	4.49708
287	4.40341
288	4.30854
289	4.2126
290	4.1141
291	4.01619
292	3.91697
293	3.81781
294	3.71771
295	3.61663
296	3.51572
297	3.41437
298	3.31285
299	3.21056
300	3.10842
301	3.00564
302	2.90317
303	2.80002
304	2.69618
305	2.59213
306	2.48672
307	2.38158
308	2.27691
309	2.17123
310	2.06644
311	1.96198
312	1.85622
313	1.75191
314	1.64863
315	1.54757
316	1.45003
317	1.35679
318	1.26769
319	1.18348
320	1.10373
321	1.02921
322	0.95977
323	0.8958
324	0.83656
325	0.78181
326	0.73121
327	0.68446
328	0.64111
329	0.60091
330	0.56362
331	0.52919
332	0.49741
333	0.46829
334	0.44144
335	0.41668
336	0.39386
337	0.37277
338	0.35329
339	0.33524
340	0.31847
341	0.30296
342	0.28871
343	0.27561
344	0.26346
345	0.25247
346	0.24248
347	0.23326
348	0.22475
349	0.21687
350	0.20959
351	0.20288
352	0.19669
353	0.19098
354	0.18572
355	0.18087
356	0.1764
357	0.17225
358	0.1684
359	0.16481
360	0.16147
361	0.15839
362	0.1555
363	0.15281
364	0.1503
365	0.1479
366	0.14604
367	0.14422
368	0.14259
369	0.14109
370	0.13969
371	0.13837
372	0.13714
373	0.1361
374	0.13501
375	0.13401
376	0.13307
377	0.13221
378	0.13142
379	0.13069
380	0.13004
381	0.12944
382	0.12888
383	0.12839
384	0.12794
385	0.12754
386	0.12719
387	0.12687
388	0.12659
389	0.12632
390	0.12607
391	0.12585
392	0.12567
393	0.12548
394	0.1253
395	0.12513
396	0.12483
397	0.1244
398	0.12398
399	0.12357
400	0.12316
401	0.12274
402	0.1223
403	0.1219
404	0.12154
405	0.12116
406	0.12078
407	0.12041
408	0.12004
409	0.11969
410	0.11936
411	0.11903
412	0.11871
413	0.11843
414	0.11816
415	0.11792
416	0.11767
417	0.11742
418	0.11726
419	0.11703
420	0.1168
421	0.11656
422	0.11632
423	0.11609
424	0.11588
425	0.11578
426	0.11564
427	0.1155
428	0.11538
429	0.11526
430	0.11513
431	0.11501
432	0.11485
433	0.11471
434	0.11457
435	0.11441
436	0.11426
437	0.1141
438	0.11394
439	0.11377
440	0.1136
441	0.11345
442	0.11328
443	0.1131
444	0.11294
445	0.11277
446	0.1126
447	0.11243
448	0.11226
449	0.11211
450	0.11195
451	0.1118
452	0.11162
453	0.11147
454	0.11131
455	0.11114
456	0.111
457	0.11084
458	0.11068
459	0.11052
460	0.11038
461	0.11023
462	0.11009
463	0.10994
464	0.1098
465	0.10965
466	0.10951
467	0.10938
468	0.10926
469	0.10913
470	0.109
471	0.10886
472	0.10874
473	0.10861
474	0.1085
475	0.10837
476	0.10814
477	0.10798
478	0.10782
479	0.10764
480	0.10746
481	0.10729
482	0.10711
483	0.10696
484	0.1068
485	0.10665
486	0.10651
487	0.10636
488	0.10621
489	0.10607
490	0.10592
491	0.10579
492	0.10565
493	0.10553
494	0.1054
495	0.10527
496	0.10515
497	0.10502
498	0.10489
499	0.10477
500	0.1046
501	0.10447
502	0.10434
503	0.10422
504	0.10409
505	0.10395
506	0.10382
507	0.10368
508	0.10356
509	0.10344
510	0.10331
511	0.10318
512	0.10303
513	0.10289
514	0.10274
515	0.10259
516	0.10247
517	0.10237
518	0.10225
519	0.10216
520	0.10207
521	0.10202
522	0.10194
523	0.10189
524	0.10183
525	0.10176
526	0.1017
527	0.10165
528	0.10157
529	0.10149
530	0.1014
531	0.10131
532	0.10121
533	0.10109
534	0.10095
535	0.10081
536	0.10066
537	0.10051
538	0.10035
539	0.10018
540	0.1
541	0.09981
542	0.09961
543	0.09941
544	0.09921
545	0.09908
546	0.09894
547	0.0988
548	0.09869
549	0.09857
550	0.09847
551	0.09841
552	0.09833
553	0.09825
554	0.09817
555	0.09811
556	0.09807
557	0.09804
558	0.09801
559	0.09797
560	0.09783
561	0.0978
562	0.09775
563	0.09773
564	0.09767
565	0.09764
566	0.0976
567	0.09755
568	0.09748
569	0.0974
570	0.09731
571	0.09722
572	0.09708
573	0.09697
574	0.09685
575	0.09673
576	0.09664
577	0.09654
578	0.09642
579	0.09634
580	0.09624
581	0.09617
582	0.09609
583	0.09603
584	0.09598
585	0.09594
586	0.09592
587	0.09591
588	0.09591
589	0.09591
590	0.09593
591	0.09597
592	0.09601
593	0.09607
594	0.09614
595	0.0962
596	0.09621
597	0.09622
598	0.09624
599	0.09626
600	0.09627
601	0.09625
602	0.09621
603	0.09618
604	0.09614
605	0.09609
606	0.09605
607	0.09598
608	0.09592
609	0.09585
610	0.09579
611	0.09584
612	0.09577
613	0.09572
614	0.09566
615	0.09562
616	0.09557
617	0.09552
618	0.09547
619	0.09542
620	0.09539
621	0.09535
622	0.0953
623	0.09528
624	0.09525
625	0.09522
626	0.09519
627	0.09516
628	0.09513
629	0.09512
630	0.0951
631	0.09509
632	0.09506
633	0.09504
634	0.09502
635	0.09501
636	0.095
637	0.09498
638	0.09498
639	0.09496
640	0.09496
641	0.09495
642	0.09493
643	0.09493
644	0.09493
645	0.09492
646	0.09491
647	0.09489
648	0.09488
649	0.09486
650	0.09483
651	0.09481
652	0.09479
653	0.0948
654	0.09479
655	0.09479
656	0.09479
657	0.09477
658	0.09476
659	0.09474
660	0.09473
661	0.09473
662	0.09472
663	0.0947
664	0.09469
665	0.09467
666	0.09468
667	0.09468
668	0.09467
669	0.09466
670	0.09464
671	0.09462
672	0.09461
673	0.0946
674	0.09457
675	0.09456
676	0.09455
677	0.09452
678	0.09451
679	0.09449
680	0.09446
681	0.09442
682	0.09438
683	0.09436
684	0.09432
685	0.0943
686	0.09427
687	0.09424
688	0.09422
689	0.09419
690	0.09417
691	0.09413
692	0.09411
693	0.0941
694	0.09408
695	0.09405
696	0.09403
697	0.09403
698	0.09403
699	0.09404
700	0.09404
701	0.09405
702	0.09407
703	0.09411
704	0.09415
705	0.0942
706	0.09426
707	0.09433
708	0.09443
709	0.09453
710	0.09464
711	0.09477
712	0.09489
713	0.09502
714	0.09517
715	0.09531
716	0.09547
717	0.09562
718	0.09576
719	0.09591
720	0.09606
721	0.09622
722	0.09638
723	0.09654
724	0.0967
725	0.09687
726	0.09704
727	0.09721
728	0.09737
729	0.09753
730	0.09769
731	0.09785
732	0.09802
733	0.09819
734	0.09836
735	0.09853
736	0.0987
737	0.09886
738	0.09901
739	0.09917
740	0.09931
741	0.09944
742	0.09958
743	0.09969
744	0.0998
745	0.09991
746	0.10001
747	0.1001
748	0.10016
749	0.10021
750	0.10026
751	0.10031
752	0.10034
753	0.10036
754	0.10035
755	0.10034
756	0.10032
757	0.10027
758	0.10022
759	0.10013
760	0.10004
761	0.09992
762	0.09977
763	0.09964
764	0.0995
765	0.09935
766	0.09918
767	0.09901
768	0.09882
769	0.09863
770	0.09841
771	0.09821
772	0.09801
773	0.09779
774	0.09757
775	0.09735
776	0.09712
777	0.0969
778	0.09667
779	0.09644
780	0.0962
781	0.09596
782	0.09573
783	0.09548
784	0.09524
785	0.095
786	0.09475
787	0.09452
788	0.09429
789	0.09405
790	0.09381
791	0.09358
792	0.09336
793	0.09314
794	0.09293
795	0.09272
796	0.09252
797	0.09233
798	0.09215
799	0.09199
800	0.09183
801	0.09169
802	0.09157
803	0.09147
804	0.09139
805	0.09134
806	0.09128
807	0.09125
808	0.09122
809	0.09122
810	0.09123
811	0.09125
812	0.09129
813	0.09135
814	0.09141
815	0.09147
816	0.09155
817	0.09166
818	0.09176
819	0.09187
820	0.092
821	0.09215
822	0.09232
823	0.09249
824	0.09268
825	0.0929
826	0.09313
827	0.09338
828	0.09363
829	0.09389
830	0.09415
831	0.09444
832	0.09475
833	0.09505
834	0.09537
835	0.0957
836	0.09606
837	0.09642
838	0.09678
839	0.09716
840	0.09755
841	0.09795
842	0.09839
843	0.09881
844	0.09926
845	0.09972
846	0.10018
847	0.10066
848	0.10113
849	0.10163
850	0.10214
851	0.10266
852	0.10319
853	0.10372
854	0.10424
855	0.10478
856	0.10531
857	0.10585
858	0.10638
859	0.10695
860	0.10752
861	0.10811
862	0.10873
863	0.10936
864	0.11002
865	0.1107
866	0.11141
867	0.11217
868	0.11294
869	0.11376
870	0.11463
871	0.11554
872	0.11649
873	0.11747
874	0.11849
875	0.11952
876	0.12056
877	0.12163
878	0.12271
879	0.12379
880	0.12488
881	0.12597
882	0.12707
883	0.12814
884	0.1292
885	0.13024
886	0.13124
887	0.13223
888	0.1332
889	0.13415
890	0.13508
891	0.13601
892	0.13694
893	0.13785
894	0.13878
895	0.1397
896	0.14061
897	0.14153
898	0.14248
899	0.14344
900	0.14439
901	0.14536
902	0.14636
903	0.14739
904	0.14843
905	0.1495
906	0.15059
907	0.15173
908	0.15289
909	0.1541
910	0.15533
911	0.15658
912	0.15786
913	0.15917
914	0.1605
915	0.16187
916	0.16325
917	0.16465
918	0.16607
919	0.16755
920	0.16906
921	0.1706
922	0.17221
923	0.17386
924	0.17558
925	0.17742
926	0.17936
927	0.18141
928	0.18357
929	0.18583
930	0.18823
931	0.19077
932	0.19345
933	0.19623
934	0.19915
935	0.20218
936	0.20532
937	0.20859
938	0.21195
939	0.21541
940	0.21898
941	0.22264
942	0.22641
943	0.23025
944	0.23419
945	0.23819
946	0.24227
947	0.24639
948	0.25056
949	0.25475
950	0.25895
951	0.26317
952	0.26743
953	0.27168
954	0.2759
955	0.28013
956	0.28433
957	0.28849
958	0.29262
959	0.29671
960	0.30073
961	0.3047
962	0.30863
963	0.3125
964	0.3163
965	0.32005
966	0.3237
967	0.32727
968	0.33076
969	0.33418
970	0.33742
971	0.34053
972	0.34354
973	0.3464
974	0.34914
975	0.35172
976	0.35407
977	0.35626
978	0.35827
979	0.36008
980	0.3617
981	0.3631
982	0.36432
983	0.36534
984	0.36619
985	0.36686
986	0.36734
987	0.36764
988	0.36777
989	0.36772
990	0.36751
991	0.36709
992	0.36651
993	0.36575
994	0.36483
995	0.36375
996	0.36249
997	0.36106
998	0.35949
999	0.35777
1000	0.35592
1001	0.35394
1002	0.35184
1003	0.34963
1004	0.3473
1005	0.34487
1006	0.34235
1007	0.33974
1008	0.33711
1009	0.33431
1010	0.33144
1011	0.32852
1012	0.32558
1013	0.32259
1014	0.31957
1015	0.3165
1016	0.31338
1017	0.31026
1018	0.30711
1019	0.30392
1020	0.30069
1021	0.2975
1022	0.29434
1023	0.29119
1024	0.28805
1025	0.28489
1026	0.28174
1027	0.27861
1028	0.27548
1029	0.27234
1030	0.26922
1031	0.26611
1032	0.26307
1033	0.26004
1034	0.25703
1035	0.25405
1036	0.2511
1037	0.2482
1038	0.24535
1039	0.24252
